GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
paymybuddy,com.paymybuddy.paymybuddy,PaymybuddyApplication,5,3,0,0,2,1,1,1,1,1
paymybuddy,com.paymybuddy.paymybuddy.model,User,25,14,9,1,3,2,5,2,0,2
paymybuddy,com.paymybuddy.paymybuddy.model,Transaction,0,42,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.config,WebConfig,0,23,0,0,0,5,0,2,0,2
paymybuddy,com.paymybuddy.paymybuddy.config,SecurityConfig,0,132,0,0,0,28,0,9,0,9
paymybuddy,com.paymybuddy.paymybuddy.config,RequestLoggingFilterConfig,0,24,0,0,0,8,0,2,0,2
paymybuddy,com.paymybuddy.paymybuddy.config,SecurityConfig.new SimpleUrlAuthenticationFailureHandler() {...},0,22,0,0,0,6,0,2,0,2
paymybuddy,com.paymybuddy.paymybuddy.dto,TransactionInListDTO,0,18,0,0,0,1,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.dto,BuddyConnectionDTO,0,9,0,0,0,1,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.dto,TransactionRequestDTO,0,15,0,0,0,1,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.dto,UserResponseDTO,12,0,0,0,1,0,1,0,1,0
paymybuddy,com.paymybuddy.paymybuddy.dto,TransactionListDTO,6,0,0,0,1,0,1,0,1,0
paymybuddy,com.paymybuddy.paymybuddy.dto,UserDTO,0,12,0,0,0,1,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.dto,BalanceOperationDTO,0,9,0,0,0,1,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.dto,BuddiesDTO,0,6,0,0,0,1,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.dto,BuddyForTransferDTO,0,12,0,0,0,1,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.controller,LoginController,0,26,0,2,0,7,0,4,0,3
paymybuddy,com.paymybuddy.paymybuddy.controller,UserController,8,385,3,9,3,83,3,16,0,13
paymybuddy,com.paymybuddy.paymybuddy.controller,RegistrationController,0,51,0,2,0,13,0,5,0,4
paymybuddy,com.paymybuddy.paymybuddy.exception,SelfAddException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,EmailAlreadyUsedException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,UsernameAlreadyTakenException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,GlobalExceptionHandler,48,87,10,2,14,22,8,8,2,8
paymybuddy,com.paymybuddy.paymybuddy.exception,SelfSendException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,BuddyAlreadyAddedException,0,7,0,0,0,3,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,NotEnoughMoneyException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,BuddyNotFoundException,0,7,0,0,0,3,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.exception,NegativeTransactionException,0,4,0,0,0,2,0,1,0,1
paymybuddy,com.paymybuddy.paymybuddy.service,TransactionService,7,184,0,6,0,43,1,12,1,9
paymybuddy,com.paymybuddy.paymybuddy.service,CustomUserDetailsService,0,44,0,0,0,12,0,4,0,4
paymybuddy,com.paymybuddy.paymybuddy.service,UserService,22,505,1,21,1,102,4,29,3,19
paymybuddy,com.paymybuddy.paymybuddy.service,BalanceService,0,56,0,2,0,10,0,4,0,3
